Date,Clicks,Impressions,CTR,Position
2025-12-11,0,15,0%,62.5
2025-12-12,0,15,0%,77.7
2025-12-13,2,4,50%,31.5
2025-12-14,0,2,0%,86
2025-12-15,0,4,0%,75.5
2025-12-16,0,6,0%,47.8
2025-12-17,0,2,0%,53.5
2025-12-18,0,6,0%,75.3
2025-12-19,0,28,0%,45.8
2025-12-20,0,2,0%,89
2025-12-21,0,4,0%,82.5
2025-12-22,0,4,0%,66.5
2025-12-23,0,0,,
2025-12-24,0,0,,
2025-12-25,0,9,0%,54.3
2025-12-26,0,0,,
2025-12-27,0,1,0%,27
2025-12-28,0,0,,
2025-12-29,0,2,0%,1.5
2025-12-30,1,2,50%,3
2025-12-31,0,1,0%,8
2026-01-01,1,2,50%,2.5
2026-01-02,0,0,,
2026-01-03,0,1,0%,2
2026-01-04,0,1,0%,1
2026-01-05,0,1,0%,33
2026-01-06,0,0,,
2026-01-07,0,0,,
2026-01-08,0,1,0%,29
2026-01-09,0,1,0%,29
2026-01-10,0,1,0%,27
2026-01-11,0,1,0%,28
2026-01-12,0,1,0%,28
2026-01-13,0,2,0%,16.5
2026-01-14,0,1,0%,50
2026-01-15,0,3,0%,39
2026-01-16,1,3,33.33%,15.3
2026-01-17,0,1,0%,22
2026-01-18,0,1,0%,30
2026-01-19,0,1,0%,25
2026-01-20,0,30,0%,26.5
2026-01-21,0,1,0%,26
2026-01-22,0,1,0%,34
2026-01-23,0,3,0%,16
2026-01-24,0,2,0%,26.5
2026-01-25,0,1,0%,40
2026-01-26,0,2,0%,33.5
2026-01-27,1,3,33.33%,3.7
2026-01-28,2,3,66.67%,13.3
2026-01-29,0,1,0%,11
2026-01-30,0,2,0%,40.5
2026-01-31,0,3,0%,31.7
2026-02-01,0,5,0%,11.8
2026-02-02,0,1,0%,48
2026-02-03,0,2,0%,5
2026-02-04,0,2,0%,45
2026-02-05,0,2,0%,27
2026-02-06,1,1,100%,1
2026-02-07,0,1,0%,54
2026-02-08,0,1,0%,56
2026-02-09,0,4,0%,45
2026-02-10,1,5,20%,1
2026-02-11,0,1,0%,3
2026-02-12,0,2,0%,59
2026-02-13,0,1,0%,1
2026-02-14,0,2,0%,5
2026-02-15,0,1,0%,7
2026-02-16,0,1,0%,8
2026-02-17,1,1,100%,1
2026-02-18,0,6,0%,6.8
2026-02-19,1,4,25%,1.5
2026-02-20,0,0,,
2026-02-21,0,20,0%,31.2
2026-02-22,0,0,,
2026-02-23,0,0,,
2026-02-24,0,1,0%,1
2026-02-25,0,1,0%,12
2026-02-26,1,7,14.29%,10.4
2026-02-27,0,10,0%,22.2
2026-02-28,1,13,7.69%,42.2
2026-03-01,0,8,0%,52.6
2026-03-02,1,19,5.26%,30.6
2026-03-03,1,17,5.88%,41.4
2026-03-04,0,50,0%,51
2026-03-05,2,44,4.55%,44.5
2026-03-06,0,56,0%,32.6
2026-03-07,0,47,0%,51.4
2026-03-08,1,109,0.92%,55.6
2026-03-09,1,169,0.59%,51
2026-03-10,1,121,0.83%,51.9
